"alert__week","alert__year","alert__count","confidence__cat"
39,2016,15,"l"
38,2016,255,"n"
38,2016,9,"l"
38,2016,11,"h"
37,2016,3,"h"
37,2016,262,"n"
37,2016,6,"l"
36,2016,8,"l"
36,2016,6,"h"
36,2016,147,"n"
35,2016,324,"n"
35,2016,6,"h"
35,2016,6,"l"
34,2016,7,"l"
34,2016,334,"n"
34,2016,9,"h"
33,2016,791,"n"
33,2016,28,"h"
33,2016,26,"l"
32,2016,786,"n"
32,2016,25,"h"
32,2016,27,"l"
31,2016,9,"l"
31,2016,245,"n"
30,2016,1,"l"
30,2016,166,"n"
30,2016,2,"h"
29,2016,108,"n"
29,2016,1,"l"
28,2016,6,"l"
28,2016,5,"h"
28,2016,344,"n"
27,2016,7,"l"
27,2016,503,"n"
27,2016,17,"h"
26,2016,394,"n"
26,2016,6,"l"
26,2016,11,"h"
25,2016,5,"h"
25,2016,122,"n"
24,2016,3,"h"
24,2016,143,"n"
23,2016,278,"n"
23,2016,3,"l"
22,2016,109,"n"
22,2016,7,"l"
21,2016,5,"l"
21,2016,3,"h"
21,2016,177,"n"
20,2016,2,"l"
20,2016,194,"n"
20,2016,3,"h"
19,2016,9,"h"
19,2016,3,"l"
19,2016,711,"n"
18,2016,45,"l"
18,2016,948,"n"
18,2016,17,"h"
17,2016,37,"h"
17,2016,34,"l"
17,2016,1200,"n"
16,2016,2092,"n"
16,2016,110,"h"
16,2016,74,"l"
15,2016,23,"h"
15,2016,890,"n"
15,2016,31,"l"
14,2016,1797,"n"
14,2016,36,"h"
14,2016,60,"l"
13,2016,2245,"n"
13,2016,206,"l"
13,2016,86,"h"
12,2016,57,"l"
12,2016,80,"h"
12,2016,1606,"n"
11,2016,83,"l"
11,2016,983,"n"
11,2016,28,"h"
10,2016,66,"l"
10,2016,953,"n"
10,2016,34,"h"
9,2016,23,"h"
9,2016,611,"n"
9,2016,27,"l"
8,2016,818,"n"
8,2016,71,"l"
8,2016,38,"h"
7,2016,8,"l"
7,2016,502,"n"
7,2016,29,"h"
6,2016,4,"h"
6,2016,213,"n"
6,2016,3,"l"
5,2016,7,"l"
5,2016,191,"n"
5,2016,2,"h"
4,2016,366,"n"
4,2016,6,"l"
4,2016,5,"h"
3,2016,3,"l"
3,2016,211,"n"
3,2016,5,"h"
2,2016,221,"n"
2,2016,3,"l"
1,2016,288,"n"
1,2016,11,"l"
1,2016,11,"h"
53,2015,3,"h"
53,2015,64,"n"
52,2015,183,"n"
52,2015,3,"l"
51,2015,1,"h"
51,2015,91,"n"
51,2015,1,"l"
50,2015,2,"l"
50,2015,1,"h"
50,2015,90,"n"
49,2015,2,"h"
49,2015,152,"n"
49,2015,1,"l"
48,2015,55,"n"
48,2015,1,"h"
47,2015,1,"l"
47,2015,72,"n"
47,2015,1,"h"
46,2015,1,"l"
46,2015,98,"n"
46,2015,1,"h"
45,2015,82,"n"
45,2015,1,"l"
44,2015,128,"n"
44,2015,2,"l"
